#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	JAK1	9606.ENSP00000275493	9606.ENSP00000499900	0	0	0	0.572	0.045	0.417	0.900	0.537	0.970
EGFR	JAK2	9606.ENSP00000275493	9606.ENSP00000371067	0	0	0	0.576	0	0.723	0.900	0.564	0.986
EGFR	ESR1	9606.ENSP00000275493	9606.ENSP00000405330	0	0	0	0	0	0.583	0	0.974	0.988
EGFR	HRAS	9606.ENSP00000275493	9606.ENSP00000407586	0	0	0	0	0.053	0.315	0.900	0.931	0.994
EGFR	ERBB4	9606.ENSP00000275493	9606.ENSP00000342235	0	0	0.051	0.945	0	0.786	0.400	0.977	0.996
EGFR	PIK3R1	9606.ENSP00000275493	9606.ENSP00000428056	0	0	0	0	0.042	0.900	0.900	0.901	0.998
EGFR	HSP90AA1	9606.ENSP00000275493	9606.ENSP00000335153	0	0	0	0	0.049	0.854	0.500	0.993	0.999
EP300	FOXA1	9606.ENSP00000263253	9606.ENSP00000250448	0	0	0	0	0.044	0	0.800	0.681	0.933
EP300	KDM6A	9606.ENSP00000263253	9606.ENSP00000367203	0	0	0	0	0.251	0.067	0.500	0.753	0.902
EP300	NOTCH1	9606.ENSP00000263253	9606.ENSP00000498587	0	0	0	0	0.053	0.634	0.500	0.697	0.940
EP300	KLF4	9606.ENSP00000263253	9606.ENSP00000363804	0	0	0	0	0.065	0.744	0	0.790	0.945
EP300	GATA3	9606.ENSP00000263253	9606.ENSP00000368632	0	0	0	0	0	0.101	0.800	0.794	0.959
EP300	NCOR1	9606.ENSP00000263253	9606.ENSP00000268712	0	0	0	0	0.436	0.313	0.500	0.816	0.959
EP300	RUNX1	9606.ENSP00000263253	9606.ENSP00000300305	0	0	0	0	0	0.513	0.500	0.960	0.989
EP300	SMAD4	9606.ENSP00000263253	9606.ENSP00000341551	0	0	0	0	0.204	0.826	0.500	0.924	0.994
EP300	ESR1	9606.ENSP00000263253	9606.ENSP00000405330	0	0	0	0	0	0.926	0.500	0.943	0.997
EP300	TP53	9606.ENSP00000263253	9606.ENSP00000269305	0	0	0	0	0.049	0.999	0.900	0.998	0.999
ERBB2	KRAS	9606.ENSP00000269571	9606.ENSP00000256078	0	0	0	0	0.053	0.199	0.500	0.923	0.966
ERBB2	PIK3CA	9606.ENSP00000269571	9606.ENSP00000263967	0	0	0	0	0	0.115	0.900	0.927	0.992
ERBB2	ERBB3	9606.ENSP00000269571	9606.ENSP00000267101	0	0	0.081	0.893	0.086	0.997	0.900	0.984	0.999
ERBB2	TP53	9606.ENSP00000269571	9606.ENSP00000269305	0	0	0	0	0.060	0.172	0	0.924	0.935
ERBB2	HRAS	9606.ENSP00000269571	9606.ENSP00000407586	0	0	0	0	0.053	0.328	0.500	0.742	0.907
ERBB2	JAK1	9606.ENSP00000269571	9606.ENSP00000499900	0	0	0	0.570	0	0.253	0.900	0.500	0.959
ERBB2	JAK2	9606.ENSP00000269571	9606.ENSP00000371067	0	0	0	0.573	0	0.328	0.900	0.534	0.966
ERBB2	ESR1	9606.ENSP00000269571	9606.ENSP00000405330	0	0	0	0	0	0.329	0	0.966	0.976
ERBB2	PIK3R1	9606.ENSP00000269571	9606.ENSP00000428056	0	0	0	0	0	0.840	0.900	0.728	0.995
ERBB2	ERBB4	9606.ENSP00000269571	9606.ENSP00000342235	0	0	0.055	0.927	0	0.850	0.900	0.983	0.999
ERBB2	HSP90AA1	9606.ENSP00000269571	9606.ENSP00000335153	0	0	0	0	0	0.898	0.500	0.985	0.999
ERBB3	KRAS	9606.ENSP00000267101	9606.ENSP00000256078	0	0	0	0	0.053	0.160	0.500	0.820	0.919
ERBB3	PIK3CA	9606.ENSP00000267101	9606.ENSP00000263967	0	0	0	0	0	0.597	0.900	0.856	0.993
ERBB3	HSP90AA1	9606.ENSP00000267101	9606.ENSP00000335153	0	0	0	0	0	0.237	0.500	0.797	0.916
ERBB3	JAK1	9606.ENSP00000267101	9606.ENSP00000499900	0	0	0	0.569	0	0.091	0.900	0.472	0.947
ERBB3	JAK2	9606.ENSP00000267101	9606.ENSP00000371067	0	0	0	0.572	0	0.253	0.900	0.454	0.955
ERBB3	PIK3R1	9606.ENSP00000267101	9606.ENSP00000428056	0	0	0	0	0	0.923	0.900	0.779	0.998
ERBB3	ERBB4	9606.ENSP00000267101	9606.ENSP00000342235	0	0	0.061	0.929	0.060	0.622	0.900	0.983	0.999
ERBB4	PIK3CA	9606.ENSP00000342235	9606.ENSP00000263967	0	0	0	0	0	0	0.900	0.713	0.970
ERBB4	PIK3R1	9606.ENSP00000342235	9606.ENSP00000428056	0	0	0	0	0.060	0.194	0.900	0.398	0.948
ERBB4	ESR1	9606.ENSP00000342235	9606.ENSP00000405330	0	0	0	0	0.074	0.329	0.800	0.723	0.961
ESR1	FOXA1	9606.ENSP00000405330	9606.ENSP00000250448	0	0	0	0	0.108	0.626	0.500	0.990	0.998
ESR1	PIK3CA	9606.ENSP00000405330	9606.ENSP00000263967	0	0	0	0	0	0.510	0.400	0.817	0.941
ESR1	NCOR1	9606.ENSP00000405330	9606.ENSP00000268712	0	0	0	0	0	0.799	0.900	0.987	0.999
ESR1	TP53	9606.ENSP00000405330	9606.ENSP00000269305	0	0	0	0	0	0.735	0	0.974	0.992
ESR1	HSP90AA1	9606.ENSP00000405330	9606.ENSP00000335153	0	0	0	0	0.054	0.889	0.500	0.988	0.999
ESR1	MEN1	9606.ENSP00000405330	9606.ENSP00000337088	0	0	0	0	0	0.304	0	0.894	0.923
ESR1	GATA3	9606.ENSP00000405330	9606.ENSP00000368632	0	0	0	0	0.102	0.608	0.500	0.910	0.982
ESR1	NCOR2	9606.ENSP00000405330	9606.ENSP00000384018	0	0	0	0	0.044	0.770	0.500	0.944	0.993
ESR1	PIK3R1	9606.ENSP00000405330	9606.ENSP00000428056	0	0	0	0	0	0.708	0.400	0.971	0.994
FBXW7	TP53	9606.ENSP00000474725	9606.ENSP00000269305	0	0	0	0	0	0.620	0.400	0.842	0.960
FBXW7	MTOR	9606.ENSP00000474725	9606.ENSP00000354558	0	0	0	0	0.049	0.835	0	0.540	0.921
FBXW7	NOTCH1	9606.ENSP00000474725	9606.ENSP00000498587	0	0	0	0	0	0.925	0.500	0.884	0.995
FGFR2	KRAS	9606.ENSP00000410294	9606.ENSP00000256078	0	0	0	0	0	0.099	0.900	0.725	0.973
FGFR2	PIK3CA	9606.ENSP00000410294	9606.ENSP00000263967	0	0	0	0	0	0.087	0.650	0.737	0.908
FGFR2	JAK2	9606.ENSP00000410294	9606.ENSP00000371067	0	0	0	0.609	0	0.074	0.900	0.215	0.921
FGFR2	HRAS	9606.ENSP00000410294	9606.ENSP00000407586	0	0	0	0	0	0.099	0.900	0.607	0.961
FGFR2	JAK1	9606.ENSP00000410294	9606.ENSP00000499900	0	0	0	0.605	0	0.074	0.900	0.145	0.913
FGFR2	PIK3R1	9606.ENSP00000410294	9606.ENSP00000428056	0	0	0	0	0.042	0.416	0.650	0.659	0.924
FOXA1	GATA3	9606.ENSP00000250448	9606.ENSP00000368632	0	0	0	0	0.120	0.484	0.900	0.950	0.997
GATA3	RUNX1	9606.ENSP00000368632	9606.ENSP00000300305	0	0	0	0	0.056	0.125	0.500	0.976	0.989
H3C2	SETDB1	9606.ENSP00000484841	9606.ENSP00000271640	0	0	0	0	0.058	0.911	0	0.072	0.915
H3C2	KAT6B	9606.ENSP00000484841	9606.ENSP00000287239	0	0	0	0	0	0.917	0	0.091	0.922
H3C2	KMT5A	9606.ENSP00000484841	9606.ENSP00000384629	0	0	0	0	0.068	0.911	0	0.072	0.916
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0	0.050	0.981	0	0.883	0.900	0.411	0.992
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0	0	0	0.100	0.758	0.900	0.800	0.995
HRAS	TP53	9606.ENSP00000407586	9606.ENSP00000269305	0	0	0	0	0.083	0.292	0	0.894	0.925
HRAS	NF1	9606.ENSP00000407586	9606.ENSP00000351015	0	0	0	0	0.051	0.789	0.900	0.748	0.994
HRAS	MAP3K1	9606.ENSP00000407586	9606.ENSP00000382423	0	0	0	0	0.058	0.183	0.900	0.379	0.945
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0	0	0	0	0.688	0.900	0.707	0.990
HSP90AA1	KDR	9606.ENSP00000335153	9606.ENSP00000263923	0	0	0	0	0	0.313	0.500	0.878	0.954
HSP90AA1	NCOR1	9606.ENSP00000335153	9606.ENSP00000268712	0	0	0	0	0.143	0	0	0.898	0.909
HSP90AA1	TP53	9606.ENSP00000335153	9606.ENSP00000269305	0	0	0	0	0	0.903	0	0.995	0.999
HSP90AA1	MTOR	9606.ENSP00000335153	9606.ENSP00000354558	0	0	0	0	0.095	0.994	0	0.794	0.998
JAK1	KDR	9606.ENSP00000499900	9606.ENSP00000263923	0	0	0	0.565	0.055	0.074	0.900	0.474	0.947
JAK1	PIK3CA	9606.ENSP00000499900	9606.ENSP00000263967	0	0	0	0	0.068	0.069	0.900	0.690	0.969
JAK1	JAK2	9606.ENSP00000499900	9606.ENSP00000371067	0	0	0	0.908	0.113	0.510	0.900	0.982	0.999
JAK1	PIK3R1	9606.ENSP00000499900	9606.ENSP00000428056	0	0	0	0	0.067	0.093	0.900	0.373	0.939
JAK2	KDR	9606.ENSP00000371067	9606.ENSP00000263923	0	0	0	0.563	0.055	0.074	0.900	0.260	0.926
JAK2	PIK3CA	9606.ENSP00000371067	9606.ENSP00000263967	0	0	0	0	0.263	0.069	0.900	0.754	0.980
JAK2	PIK3R1	9606.ENSP00000371067	9606.ENSP00000428056	0	0	0	0	0.095	0.671	0.900	0.634	0.987
KDM6A	KMT2C	9606.ENSP00000367203	9606.ENSP00000262189	0	0	0	0	0.157	0.679	0.900	0.997	0.999
KDM6A	KMT2D	9606.ENSP00000367203	9606.ENSP00000301067	0	0	0	0	0.128	0.841	0.900	0.987	0.999
KDR	PIK3R1	9606.ENSP00000263923	9606.ENSP00000428056	0	0	0	0	0.049	0.153	0.900	0.377	0.943
KDR	PIK3CA	9606.ENSP00000263923	9606.ENSP00000263967	0	0	0	0	0	0.098	0.900	0.754	0.975
KLF4	TP53	9606.ENSP00000363804	9606.ENSP00000269305	0	0	0	0	0.057	0.095	0	0.920	0.925
KMT2C	KMT2D	9606.ENSP00000262189	9606.ENSP00000301067	0	0	0	0.753	0.124	0.320	0.900	0.971	0.998
KMT2D	MEN1	9606.ENSP00000301067	9606.ENSP00000337088	0	0	0	0	0.064	0.533	0.800	0.626	0.963
KMT5A	TP53	9606.ENSP00000384629	9606.ENSP00000269305	0	0	0	0	0.089	0.357	0.750	0.493	0.916
KRAS	SMAD4	9606.ENSP00000256078	9606.ENSP00000341551	0	0	0	0	0.118	0.051	0	0.908	0.917
KRAS	PTEN	9606.ENSP00000256078	9606.ENSP00000361021	0	0	0	0	0.078	0.099	0	0.930	0.936
KRAS	TP53	9606.ENSP00000256078	9606.ENSP00000269305	0	0	0	0	0.074	0	0	0.947	0.949
KRAS	MAP3K1	9606.ENSP00000256078	9606.ENSP00000382423	0	0	0	0	0.076	0.183	0.900	0.461	0.953
KRAS	PIK3R1	9606.ENSP00000256078	9606.ENSP00000428056	0	0	0	0	0.072	0.102	0.900	0.618	0.963
KRAS	NF1	9606.ENSP00000256078	9606.ENSP00000351015	0	0	0	0	0.064	0.543	0.900	0.925	0.996
KRAS	PIK3CA	9606.ENSP00000256078	9606.ENSP00000263967	0	0	0	0	0.143	0.627	0.900	0.951	0.998
MAP2K4	MAP3K1	9606.ENSP00000410402	9606.ENSP00000382423	0	0	0	0.613	0.104	0.857	0.900	0.673	0.995
MECOM	RUNX1	9606.ENSP00000264674	9606.ENSP00000300305	0	0	0	0	0.042	0.067	0.900	0.889	0.988
MTOR	PIK3CA	9606.ENSP00000354558	9606.ENSP00000263967	0	0	0	0.548	0.060	0.166	0.900	0.592	0.963
MTOR	TSC1	9606.ENSP00000354558	9606.ENSP00000298552	0	0	0	0	0.272	0.274	0.500	0.914	0.974
MTOR	PTEN	9606.ENSP00000354558	9606.ENSP00000361021	0	0	0	0	0	0.281	0	0.922	0.942
MTOR	PIK3R1	9606.ENSP00000354558	9606.ENSP00000428056	0	0	0	0	0.044	0	0.900	0.577	0.956
MYH11	MYH9	9606.ENSP00000379616	9606.ENSP00000216181	0	0	0.051	0.979	0.060	0	0.900	0.383	0.937
MYH11	RUNX1	9606.ENSP00000379616	9606.ENSP00000300305	0	0	0	0	0.042	0	0	0.922	0.922
NBEA	NOTCH1	9606.ENSP00000383295	9606.ENSP00000498587	0	0	0	0	0	0.097	0.900	0.074	0.909
NCOR1	NCOR2	9606.ENSP00000268712	9606.ENSP00000384018	0	0	0	0.846	0.122	0.622	0.800	0.985	0.998
NCOR1	TBL1XR1	9606.ENSP00000268712	9606.ENSP00000405574	0	0	0	0	0.140	0.915	0.500	0.995	0.999
NCOR2	SPEN	9606.ENSP00000384018	9606.ENSP00000364912	0	0	0	0	0.142	0.622	0	0.930	0.975
NCOR2	TBL1XR1	9606.ENSP00000384018	9606.ENSP00000405574	0	0	0	0	0.076	0.428	0.500	0.965	0.989
NOTCH1	NOTCH2	9606.ENSP00000498587	9606.ENSP00000256646	0	0	0.065	0.950	0.145	0.180	0.900	0.122	0.932
NTRK1	PIK3CA	9606.ENSP00000431418	9606.ENSP00000263967	0	0	0	0	0.050	0.087	0.900	0.593	0.960
NTRK1	PIK3R1	9606.ENSP00000431418	9606.ENSP00000428056	0	0	0	0	0	0.453	0.900	0.370	0.962
PIK3CA	TP53	9606.ENSP00000263967	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.920	0.941
PIK3CA	PTEN	9606.ENSP00000263967	9606.ENSP00000361021	0	0	0	0	0.112	0.134	0.900	0.949	0.995
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0	0	0	0.156	0.997	0.967	0.998	0.999
PIK3R1	PTEN	9606.ENSP00000428056	9606.ENSP00000361021	0	0	0	0	0.056	0.554	0.900	0.943	0.997
PREX2	PTEN	9606.ENSP00000288368	9606.ENSP00000361021	0	0	0	0	0	0	0.700	0.968	0.990
PTEN	TP53	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0.067	0.748	0.900	0.968	0.999
PTEN	SMAD4	9606.ENSP00000361021	9606.ENSP00000341551	0	0	0	0	0.072	0.053	0	0.908	0.912
RB1	TP53	9606.ENSP00000267163	9606.ENSP00000269305	0	0	0	0	0.064	0.510	0	0.872	0.936
TSC1	USP6	9606.ENSP00000298552	9606.ENSP00000460380	0	0	0	0	0.081	0.061	0	0.966	0.968
