#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	SETDB1	9606.ENSP00000451828	9606.ENSP00000271640	0	0	0	0	0.067	0.318	0	0.275	0.499
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.559	0.042	0.640	0	0.445	0.792
AKT1	ATM	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0.042	0	0	0.742	0.742
AKT1	CSF1R	9606.ENSP00000451828	9606.ENSP00000286301	0	0	0	0	0.076	0.074	0	0.575	0.604
AKT1	PREX2	9606.ENSP00000451828	9606.ENSP00000288368	0	0	0	0	0	0.106	0	0.403	0.444
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0	0	0	0.049	0.477	0.900	0.736	0.985
AKT1	RUNX1	9606.ENSP00000451828	9606.ENSP00000300305	0	0	0	0	0.087	0	0	0.526	0.549
AKT1	KMT2D	9606.ENSP00000451828	9606.ENSP00000301067	0	0	0	0	0.059	0.294	0	0.368	0.544
AKT1	PPM1D	9606.ENSP00000451828	9606.ENSP00000306682	0	0	0	0	0.049	0.107	0	0.388	0.435
AKT1	ARID1A	9606.ENSP00000451828	9606.ENSP00000320485	0	0	0	0	0.074	0.056	0	0.570	0.591
AKT1	EIF4A2	9606.ENSP00000451828	9606.ENSP00000326381	0	0	0	0	0.044	0.061	0	0.469	0.482
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.049	0.883	0.900	0.996	0.999
AKT1	MEN1	9606.ENSP00000451828	9606.ENSP00000337088	0	0	0	0	0.154	0.078	0	0.624	0.681
AKT1	SMAD4	9606.ENSP00000451828	9606.ENSP00000341551	0	0	0	0	0.085	0.636	0	0.763	0.914
AKT1	ERBB4	9606.ENSP00000451828	9606.ENSP00000342235	0	0	0	0.564	0	0.091	0	0.560	0.583
AKT1	NF1	9606.ENSP00000451828	9606.ENSP00000351015	0	0	0	0	0.042	0.347	0	0.710	0.803
AKT1	CASP8	9606.ENSP00000451828	9606.ENSP00000351273	0	0	0	0	0.059	0.067	0	0.780	0.790
AKT1	ELN	9606.ENSP00000451828	9606.ENSP00000351807	0	0	0	0	0.055	0	0	0.478	0.485
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.060	0.925	0.900	0.954	0.999
AKT1	GNAS	9606.ENSP00000451828	9606.ENSP00000360141	0	0	0	0	0.060	0.067	0	0.501	0.524
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0	0.648	0	0.967	0.988
AKT1	KLF4	9606.ENSP00000451828	9606.ENSP00000363804	0	0	0	0	0.074	0.071	0	0.769	0.784
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0.055	0.636	0	0.721	0.895
AKT1	ASXL1	9606.ENSP00000451828	9606.ENSP00000364839	0	0	0	0	0.062	0.539	0	0.292	0.667
AKT1	KDM6A	9606.ENSP00000451828	9606.ENSP00000367203	0	0	0	0	0	0.106	0	0.388	0.429
AKT1	GATA3	9606.ENSP00000451828	9606.ENSP00000368632	0	0	0	0	0	0.093	0	0.519	0.545
AKT1	BRCA2	9606.ENSP00000451828	9606.ENSP00000369497	0	0	0	0	0.057	0	0	0.598	0.605
AKT1	JAK2	9606.ENSP00000451828	9606.ENSP00000371067	0	0	0	0.570	0.062	0	0	0.726	0.732
AKT1	CHEK2	9606.ENSP00000451828	9606.ENSP00000372023	0	0	0	0.634	0.067	0.076	0	0.524	0.554
AKT1	MYH11	9606.ENSP00000451828	9606.ENSP00000379616	0	0.001	0	0	0	0.079	0	0.505	0.525
AKT1	MAP3K1	9606.ENSP00000451828	9606.ENSP00000382423	0	0	0	0.610	0.093	0.070	0	0.520	0.560
AKT1	NCOR2	9606.ENSP00000451828	9606.ENSP00000384018	0	0	0	0	0.097	0.294	0	0.562	0.697
AKT1	CYLD	9606.ENSP00000451828	9606.ENSP00000392025	0	0	0	0	0	0.300	0	0.441	0.592
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	HRAS	9606.ENSP00000451828	9606.ENSP00000407586	0	0	0	0	0.103	0.110	0	0.880	0.896
AKT1	MAP2K4	9606.ENSP00000451828	9606.ENSP00000410402	0	0	0	0.593	0.103	0.542	0.900	0.257	0.965
AKT1	CBFB	9606.ENSP00000451828	9606.ENSP00000415151	0	0	0	0	0.055	0	0.400	0.195	0.503
AKT1	BAP1	9606.ENSP00000451828	9606.ENSP00000417132	0	0	0	0	0.078	0.292	0	0.307	0.508
AKT1	CDKN2A	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.042	0.229	0	0.834	0.866
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0	0	0	0	0.735	0.900	0.786	0.993
AKT1	BRAF	9606.ENSP00000451828	9606.ENSP00000419060	0	0	0.131	0.586	0	0.631	0	0.376	0.783
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.058	0.558	0.900	0.913	0.995
AKT1	UBR5	9606.ENSP00000451828	9606.ENSP00000429084	0	0	0	0	0.049	0.301	0	0.222	0.438
AKT1	NTRK1	9606.ENSP00000451828	9606.ENSP00000431418	0	0	0	0.562	0.045	0.166	0	0.549	0.609
AKT1	CLTC	9606.ENSP00000451828	9606.ENSP00000479606	0	0	0	0	0.075	0.206	0	0.354	0.484
AKT1	FBXW7	9606.ENSP00000451828	9606.ENSP00000474725	0	0	0	0	0	0.152	0	0.629	0.672
AKT1	ARHGAP35	9606.ENSP00000451828	9606.ENSP00000500409	0	0	0	0	0.060	0.066	0	0.673	0.687
AKT1	NOTCH1	9606.ENSP00000451828	9606.ENSP00000498587	0	0	0	0	0.139	0.505	0	0.757	0.887
ALK	MYH9	9606.ENSP00000373700	9606.ENSP00000216181	0	0.002	0	0	0	0.320	0	0.297	0.502
ALK	KRAS	9606.ENSP00000373700	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0.900	0.886	0.989
ALK	NOTCH2	9606.ENSP00000373700	9606.ENSP00000256646	0	0	0	0	0	0.098	0	0.592	0.617
ALK	CDH1	9606.ENSP00000373700	9606.ENSP00000261769	0	0	0	0	0	0.067	0	0.434	0.449
ALK	PIK3CA	9606.ENSP00000373700	9606.ENSP00000263967	0	0	0	0	0	0.069	0.900	0.801	0.979
ALK	TP53	9606.ENSP00000373700	9606.ENSP00000269305	0	0	0	0	0	0	0	0.772	0.772
ALK	ERBB2	9606.ENSP00000373700	9606.ENSP00000269571	0	0	0	0.568	0	0.620	0	0.433	0.775
ALK	EGFR	9606.ENSP00000373700	9606.ENSP00000275493	0	0	0	0.566	0	0.100	0	0.473	0.505
ALK	ATM	9606.ENSP00000373700	9606.ENSP00000278616	0	0	0	0	0	0	0	0.577	0.577
ALK	ARID1A	9606.ENSP00000373700	9606.ENSP00000320485	0	0	0	0	0	0.056	0	0.565	0.572
ALK	HSP90AA1	9606.ENSP00000373700	9606.ENSP00000335153	0	0	0	0	0	0.223	0	0.707	0.762
ALK	SMAD4	9606.ENSP00000373700	9606.ENSP00000341551	0	0	0	0	0	0.091	0	0.652	0.670
ALK	NF1	9606.ENSP00000373700	9606.ENSP00000351015	0	0	0	0	0	0.146	0	0.646	0.685
ALK	MTOR	9606.ENSP00000373700	9606.ENSP00000354558	0	0	0	0	0	0.073	0	0.662	0.673
ALK	GNAS	9606.ENSP00000373700	9606.ENSP00000360141	0	0	0	0	0.073	0.067	0	0.579	0.604
ALK	PTEN	9606.ENSP00000373700	9606.ENSP00000361021	0	0	0	0	0	0.092	0	0.706	0.722
ALK	GATA3	9606.ENSP00000373700	9606.ENSP00000368632	0	0	0	0	0	0.093	0	0.381	0.415
ALK	BRCA2	9606.ENSP00000373700	9606.ENSP00000369497	0	0	0	0	0	0	0	0.552	0.552
ALK	PTPRD	9606.ENSP00000373700	9606.ENSP00000370593	0	0	0	0	0.045	0.097	0	0.495	0.527
ALK	JAK2	9606.ENSP00000373700	9606.ENSP00000371067	0	0	0	0.562	0	0.162	0.900	0.307	0.936
ALK	BRAF	9606.ENSP00000373700	9606.ENSP00000419060	0	0	0	0.574	0	0	0	0.405	0.405
ALK	NUMA1	9606.ENSP00000373700	9606.ENSP00000377298	0	0	0	0	0	0.084	0	0.377	0.405
ALK	LRP1B	9606.ENSP00000373700	9606.ENSP00000374135	0	0	0	0	0.067	0	0	0.404	0.420
ALK	ARID1B	9606.ENSP00000373700	9606.ENSP00000490491	0	0	0	0	0	0.056	0	0.418	0.427
ALK	ESR1	9606.ENSP00000373700	9606.ENSP00000405330	0	0	0	0	0.046	0.071	0	0.508	0.525
ALK	BRCA1	9606.ENSP00000373700	9606.ENSP00000418960	0	0	0	0	0	0	0	0.544	0.544
ALK	NOTCH1	9606.ENSP00000373700	9606.ENSP00000498587	0	0	0	0	0	0.098	0	0.575	0.600
ALK	FBXW7	9606.ENSP00000373700	9606.ENSP00000474725	0	0	0	0	0	0.091	0	0.585	0.607
ALK	BIRC6	9606.ENSP00000373700	9606.ENSP00000393596	0	0	0	0	0.099	0.124	0.400	0.295	0.621
ALK	CDKN2A	9606.ENSP00000373700	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.644	0.664
ALK	CLTC	9606.ENSP00000373700	9606.ENSP00000479606	0	0	0	0	0	0	0.400	0.693	0.808
ALK	JAK1	9606.ENSP00000373700	9606.ENSP00000499900	0	0	0	0.561	0	0	0.900	0.465	0.944
ALK	HRAS	9606.ENSP00000373700	9606.ENSP00000407586	0	0	0	0	0.074	0.110	0.900	0.638	0.966
ALK	PIK3R1	9606.ENSP00000373700	9606.ENSP00000428056	0	0	0	0	0	0.378	0.900	0.606	0.973
AR	CDKN1B	9606.ENSP00000363822	9606.ENSP00000228872	0	0	0	0	0	0	0	0.448	0.448
AR	FOXA1	9606.ENSP00000363822	9606.ENSP00000250448	0	0	0	0	0.083	0.761	0	0.987	0.996
AR	KRAS	9606.ENSP00000363822	9606.ENSP00000256078	0	0	0	0	0	0.073	0	0.481	0.499
AR	CDH1	9606.ENSP00000363822	9606.ENSP00000261769	0	0	0	0	0.047	0	0	0.627	0.629
AR	CREBBP	9606.ENSP00000363822	9606.ENSP00000262367	0	0	0	0	0.042	0.794	0	0.815	0.960
AR	EP300	9606.ENSP00000363822	9606.ENSP00000263253	0	0	0	0	0.043	0.843	0	0.710	0.952
AR	PIK3CA	9606.ENSP00000363822	9606.ENSP00000263967	0	0	0	0	0	0	0	0.571	0.571
AR	ERBB3	9606.ENSP00000363822	9606.ENSP00000267101	0	0	0	0	0.042	0.329	0	0.479	0.636
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0.397	0.878
AR	NCOR1	9606.ENSP00000363822	9606.ENSP00000268712	0	0	0	0	0.043	0.883	0.500	0.868	0.991
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	ERBB2	9606.ENSP00000363822	9606.ENSP00000269571	0	0	0	0	0.058	0.092	0	0.772	0.788
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0	0.536	0	0.720	0.864
AR	ATM	9606.ENSP00000363822	9606.ENSP00000278616	0	0	0	0	0.055	0	0	0.533	0.539
AR	KMT2D	9606.ENSP00000363822	9606.ENSP00000301067	0	0	0	0	0.042	0.439	0	0.509	0.713
AR	ARID1A	9606.ENSP00000363822	9606.ENSP00000320485	0	0	0	0	0.044	0.241	0	0.524	0.624
AR	HSP90AA1	9606.ENSP00000363822	9606.ENSP00000335153	0	0	0	0	0.054	0.901	0.900	0.990	0.999
AR	MEN1	9606.ENSP00000363822	9606.ENSP00000337088	0	0	0	0	0	0.045	0	0.534	0.535
AR	SMAD4	9606.ENSP00000363822	9606.ENSP00000341551	0	0	0	0	0	0.294	0	0.809	0.859
AR	CASP8	9606.ENSP00000363822	9606.ENSP00000351273	0	0	0	0	0.046	0.304	0	0.357	0.536
AR	MTOR	9606.ENSP00000363822	9606.ENSP00000354558	0	0	0	0	0	0	0	0.548	0.548
AR	PTEN	9606.ENSP00000363822	9606.ENSP00000361021	0	0	0	0	0	0.295	0	0.853	0.892
AR	KLF4	9606.ENSP00000363822	9606.ENSP00000363804	0	0	0	0	0	0.311	0	0.575	0.695
AR	NOTCH1	9606.ENSP00000363822	9606.ENSP00000498587	0	0	0	0	0	0.050	0	0.421	0.427
AR	GATA3	9606.ENSP00000363822	9606.ENSP00000368632	0	0	0	0	0.075	0.057	0	0.424	0.454
AR	SMARCD1	9606.ENSP00000363822	9606.ENSP00000378414	0	0	0	0	0	0.390	0	0.145	0.456
AR	CBFB	9606.ENSP00000363822	9606.ENSP00000415151	0	0	0	0	0	0.048	0.500	0.108	0.538
AR	MAP3K1	9606.ENSP00000363822	9606.ENSP00000382423	0	0	0	0	0.055	0.045	0	0.567	0.575
AR	BRCA2	9606.ENSP00000363822	9606.ENSP00000369497	0	0	0	0	0	0	0	0.594	0.594
AR	CDKN2A	9606.ENSP00000363822	9606.ENSP00000418915	0	0	0	0	0	0.292	0	0.482	0.617
AR	PIK3R1	9606.ENSP00000363822	9606.ENSP00000428056	0	0	0	0	0.083	0.173	0	0.610	0.678
AR	BRAF	9606.ENSP00000363822	9606.ENSP00000419060	0	0	0	0	0	0.071	0	0.673	0.683
AR	ASXL1	9606.ENSP00000363822	9606.ENSP00000364839	0	0	0	0	0	0.298	0	0.584	0.695
AR	KDM6A	9606.ENSP00000363822	9606.ENSP00000367203	0	0	0	0	0.086	0.416	0	0.595	0.765
AR	ETV1	9606.ENSP00000363822	9606.ENSP00000405327	0	0	0	0	0.042	0	0	0.883	0.884
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0.773	0.908
AR	NCOR2	9606.ENSP00000363822	9606.ENSP00000384018	0	0	0	0	0	0.848	0.500	0.659	0.971
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
ARHGAP35	KRAS	9606.ENSP00000500409	9606.ENSP00000256078	0	0	0	0	0.062	0.099	0.500	0.223	0.628
ARHGAP35	KDR	9606.ENSP00000500409	9606.ENSP00000263923	0	0	0	0	0	0	0	0.633	0.633
ARHGAP35	ERBB2	9606.ENSP00000500409	9606.ENSP00000269571	0	0	0	0	0.049	0	0	0.558	0.561
ARHGAP35	ARHGEF12	9606.ENSP00000500409	9606.ENSP00000380942	0	0	0	0	0.073	0	0	0.554	0.569
ARHGAP35	HRAS	9606.ENSP00000500409	9606.ENSP00000407586	0	0	0	0	0.056	0.099	0.500	0.186	0.607
ARHGAP35	ARID1B	9606.ENSP00000500409	9606.ENSP00000490491	0	0	0	0	0.061	0	0	0.398	0.410
ARHGEF12	KRAS	9606.ENSP00000380942	9606.ENSP00000256078	0	0	0	0	0.049	0.134	0.900	0.132	0.919
ARHGEF12	ERBB2	9606.ENSP00000380942	9606.ENSP00000269571	0	0	0	0	0	0	0.500	0.173	0.568
ARHGEF12	EGFR	9606.ENSP00000380942	9606.ENSP00000275493	0	0	0	0	0.109	0.292	0	0.169	0.430
ARHGEF12	CD209	9606.ENSP00000380942	9606.ENSP00000315477	0	0	0	0	0	0	0.900	0.430	0.940
ARHGEF12	RGS7	9606.ENSP00000380942	9606.ENSP00000355523	0	0	0	0	0.062	0	0	0.583	0.592
ARHGEF12	HRAS	9606.ENSP00000380942	9606.ENSP00000407586	0	0	0	0	0	0.134	0.900	0.112	0.916
ARID1A	KRAS	9606.ENSP00000320485	9606.ENSP00000256078	0	0	0	0	0.049	0.068	0	0.869	0.873
ARID1A	NOTCH2	9606.ENSP00000320485	9606.ENSP00000256646	0	0	0	0	0.089	0.045	0	0.418	0.450
ARID1A	CDH1	9606.ENSP00000320485	9606.ENSP00000261769	0	0	0	0	0	0	0	0.447	0.447
ARID1A	KMT2C	9606.ENSP00000320485	9606.ENSP00000262189	0	0	0	0	0.214	0	0	0.784	0.823
ARID1A	CREBBP	9606.ENSP00000320485	9606.ENSP00000262367	0	0	0	0	0.334	0.094	0	0.770	0.849
ARID1A	EP300	9606.ENSP00000320485	9606.ENSP00000263253	0	0	0	0	0.416	0.094	0	0.748	0.855
ARID1A	PIK3CA	9606.ENSP00000320485	9606.ENSP00000263967	0	0	0	0	0.067	0	0	0.911	0.913
ARID1A	DNMT3A	9606.ENSP00000320485	9606.ENSP00000264709	0	0	0	0	0.092	0	0.500	0.433	0.720
ARID1A	ERBB3	9606.ENSP00000320485	9606.ENSP00000267101	0	0	0	0	0	0	0	0.507	0.507
ARID1A	RB1	9606.ENSP00000320485	9606.ENSP00000267163	0	0	0	0	0.044	0	0.720	0.265	0.786
ARID1A	NCOR1	9606.ENSP00000320485	9606.ENSP00000268712	0	0	0	0	0.240	0	0	0.576	0.664
ARID1A	TP53	9606.ENSP00000320485	9606.ENSP00000269305	0	0	0	0	0.067	0.292	0	0.945	0.961
ARID1A	ERBB2	9606.ENSP00000320485	9606.ENSP00000269571	0	0	0	0	0	0	0	0.667	0.667
ARID1A	EGFR	9606.ENSP00000320485	9606.ENSP00000275493	0	0	0	0	0.044	0	0	0.598	0.599
ARID1A	ATM	9606.ENSP00000320485	9606.ENSP00000278616	0	0	0	0	0.085	0	0	0.645	0.661
ARID1A	CSMD3	9606.ENSP00000320485	9606.ENSP00000297405	0	0	0	0	0	0	0	0.572	0.572
ARID1A	RUNX1	9606.ENSP00000320485	9606.ENSP00000300305	0	0	0	0	0.049	0.071	0.500	0.349	0.673
ARID1A	KMT2D	9606.ENSP00000320485	9606.ENSP00000301067	0	0	0	0	0.292	0	0	0.747	0.813
ARID1A	JAK2	9606.ENSP00000320485	9606.ENSP00000371067	0	0	0	0	0	0.056	0	0.392	0.401
ARID1A	MAP2K4	9606.ENSP00000320485	9606.ENSP00000410402	0	0	0	0	0.049	0	0	0.398	0.403
ARID1A	FAT3	9606.ENSP00000320485	9606.ENSP00000432586	0	0	0	0	0	0	0	0.413	0.413
ARID1A	MAP3K1	9606.ENSP00000320485	9606.ENSP00000382423	0	0	0	0	0.073	0	0	0.400	0.420
ARID1A	FUBP1	9606.ENSP00000320485	9606.ENSP00000359804	0	0	0	0	0.247	0	0	0.270	0.426
ARID1A	BAP1	9606.ENSP00000320485	9606.ENSP00000417132	0	0	0	0	0.085	0	0	0.400	0.427
ARID1A	CHEK2	9606.ENSP00000320485	9606.ENSP00000372023	0	0	0	0	0	0	0	0.433	0.433
ARID1A	GATA3	9606.ENSP00000320485	9606.ENSP00000368632	0	0	0	0	0.042	0.068	0	0.431	0.448
ARID1A	MEN1	9606.ENSP00000320485	9606.ENSP00000337088	0	0	0	0	0.104	0	0	0.413	0.451
ARID1A	HRAS	9606.ENSP00000320485	9606.ENSP00000407586	0	0	0	0	0	0.068	0	0.479	0.494
ARID1A	SPEN	9606.ENSP00000320485	9606.ENSP00000364912	0	0	0	0	0.250	0	0	0.370	0.507
ARID1A	NOTCH1	9606.ENSP00000320485	9606.ENSP00000498587	0	0	0	0	0.064	0.045	0	0.507	0.520
ARID1A	CBFB	9606.ENSP00000320485	9606.ENSP00000415151	0	0	0	0	0.067	0	0.500	0.064	0.525
ARID1A	FAT1	9606.ENSP00000320485	9606.ENSP00000406229	0	0	0	0	0.042	0	0	0.542	0.542
ARID1A	GNAS	9606.ENSP00000320485	9606.ENSP00000360141	0	0	0	0	0.050	0	0	0.567	0.571
ARID1A	NCOR2	9606.ENSP00000320485	9606.ENSP00000384018	0	0	0	0	0.176	0	0	0.502	0.572
ARID1A	PIK3R1	9606.ENSP00000320485	9606.ENSP00000428056	0	0	0	0	0.044	0	0	0.581	0.582
ARID1A	LRP1B	9606.ENSP00000320485	9606.ENSP00000374135	0	0	0	0	0	0	0	0.584	0.584
ARID1A	FGFR2	9606.ENSP00000320485	9606.ENSP00000410294	0	0	0	0	0	0	0	0.592	0.592
ARID1A	FAT4	9606.ENSP00000320485	9606.ENSP00000377862	0	0	0	0	0.042	0	0	0.625	0.625
ARID1A	ESR1	9606.ENSP00000320485	9606.ENSP00000405330	0	0	0	0	0	0.317	0	0.478	0.628
ARID1A	FBXW7	9606.ENSP00000320485	9606.ENSP00000474725	0	0	0	0	0.049	0	0	0.640	0.643
ARID1A	CTCF	9606.ENSP00000320485	9606.ENSP00000494538	0	0	0	0	0.106	0.306	0	0.475	0.646
ARID1A	NF1	9606.ENSP00000320485	9606.ENSP00000351015	0	0	0	0	0.113	0	0	0.622	0.650
ARID1A	ASXL1	9606.ENSP00000320485	9606.ENSP00000364839	0	0	0	0	0.137	0.045	0	0.611	0.651
ARID1A	BRCA2	9606.ENSP00000320485	9606.ENSP00000369497	0	0	0	0	0	0	0	0.663	0.663
ARID1A	KDM6A	9606.ENSP00000320485	9606.ENSP00000367203	0	0	0	0	0.073	0	0	0.664	0.675
ARID1A	SMAD4	9606.ENSP00000320485	9606.ENSP00000341551	0	0	0	0	0.067	0.045	0	0.666	0.676
ARID1A	BRAF	9606.ENSP00000320485	9606.ENSP00000419060	0	0	0	0	0.049	0.056	0	0.695	0.702
ARID1A	CDKN2A	9606.ENSP00000320485	9606.ENSP00000418915	0	0	0	0	0	0	0	0.720	0.720
ARID1A	PTEN	9606.ENSP00000320485	9606.ENSP00000361021	0	0	0	0	0.057	0.073	0	0.729	0.743
ARID1A	BRCA1	9606.ENSP00000320485	9606.ENSP00000418960	0	0	0	0	0.049	0.439	0	0.657	0.801
ARID1A	ARID1B	9606.ENSP00000320485	9606.ENSP00000490491	0	0	0	0.927	0.437	0.846	0.900	0.983	0.999
ARID1A	SMARCD1	9606.ENSP00000320485	9606.ENSP00000378414	0	0	0	0	0.141	0.992	0.900	0.994	0.999
